worker_id	first_name	last_name	salary	joining_date	department
1	Monika	Arora	100000	2014-02-20	HR
2	Niharika	Verma	80000	2014-06-11	Admin
3	Vishal	Singhal	300000	2014-02-20	HR
4	Amitah	Singh	500000	2014-02-20	Admin
5	Vivek	Bhati	500000	2014-06-11	Admin
6	Vipul	Diwan	200000	2014-06-11	Account
7	Satish	Kumar	75000	2014-01-20	Account
8	Geetika	Chauhan	90000	2014-04-11	Admin
9	Agepi	Argon	90000	2015-04-10	Admin
10	Moe	Acharya	65000	2015-04-11	HR
11	Nayah	Laghari	75000	2014-03-20	Account
12	Jai	Patel	85000	2014-03-21	HR
